"Chronic Absenteeism"
7/1/2024

Year,Level,Division,School,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle","All Students",571,21,96.5,3.5
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle",Asian,31,1,96.9,3.1
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle",Black,212,13,94.2,5.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle","Economically Disadvantaged",353,20,94.6,5.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle","English Learners",89,2,97.8,2.2
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle",Female,273,10,96.5,3.5
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle",Hispanic,90,2,97.8,2.2
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle",Homeless,<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle",Male,294,11,96.4,3.6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle","Multiple Races",35,3,92.1,7.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle","Students with Disabilities",105,5,95.5,4.5
"2020 - 2021",SCH,"Charlottesville City Public Schools","Buford Middle",White,203,2,99,1
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary","All Students",246,43,85.1,14.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary",Asian,10,0,100,0
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary",Black,42,22,65.6,34.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary","Economically Disadvantaged",92,35,72.4,27.6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary","English Learners",31,4,88.6,11.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary",Female,129,23,84.9,15.1
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary",Hispanic,27,2,93.1,6.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary",Male,116,20,85.3,14.7
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary","Multiple Races",23,5,82.1,17.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary","Students with Disabilities",31,5,86.1,13.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Burnley-Moran Elementary",White,144,14,91.1,8.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High","All Students",1084,99,91.6,8.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High","American Indian",<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High",Asian,70,4,94.6,5.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High",Black,286,50,85.1,14.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High","Economically Disadvantaged",507,83,85.9,14.1
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High","English Learners",126,16,88.7,11.3
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High",Female,538,43,92.6,7.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High",Hispanic,142,19,88.2,11.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High",Homeless,<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High",Male,543,56,90.7,9.3
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High","Multiple Races",79,4,95.2,4.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High","Students with Disabilities",143,20,87.7,12.3
"2020 - 2021",SCH,"Charlottesville City Public Schools","Charlottesville High",White,506,22,95.8,4.2
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary","All Students",207,25,89.2,10.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary",Asian,19,0,100,0
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary",Black,76,16,82.6,17.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary","Economically Disadvantaged",153,24,86.4,13.6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary","English Learners",57,3,95,5
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary",Female,94,7,93.1,6.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary",Hispanic,31,2,93.9,6.1
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary",Male,113,18,86.3,13.7
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary","Multiple Races",25,4,86.2,13.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary","Students with Disabilities",33,8,80.5,19.5
"2020 - 2021",SCH,"Charlottesville City Public Schools","Clark Elementary",White,56,3,94.9,5.1
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","All Students",270,14,95.1,4.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","American Indian",<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Asian,29,1,96.7,3.3
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Black,44,5,89.8,10.2
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","Economically Disadvantaged",131,13,91,9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","English Learners",79,5,94,6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Female,136,6,95.8,4.2
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Hispanic,35,4,89.7,10.3
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",Male,134,8,94.4,5.6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","Multiple Races",32,3,91.4,8.6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary","Students with Disabilities",23,5,82.1,17.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Greenbrier Elementary",White,129,1,99.2,0.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","All Students",248,47,84.1,15.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Asian,12,1,92.3,7.7
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Black,84,29,74.3,25.7
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","Economically Disadvantaged",136,45,75.1,24.9
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","English Learners",30,2,93.8,6.2
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Female,113,16,87.6,12.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Hispanic,30,4,88.2,11.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",Male,135,31,81.3,18.7
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","Multiple Races",37,4,90.2,9.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary","Students with Disabilities",44,23,65.7,34.3
"2020 - 2021",SCH,"Charlottesville City Public Schools","Jackson-Via Elementary",White,85,9,90.4,9.6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary","All Students",226,45,83.4,16.6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary",Asian,<,<,88.9,11.1
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary",Black,64,28,69.6,30.4
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary","Economically Disadvantaged",84,39,68.3,31.7
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary","English Learners",32,6,84.2,15.8
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary",Female,114,16,87.7,12.3
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary",Hispanic,26,7,78.8,21.2
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary",Male,112,29,79.4,20.6
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary","Multiple Races",22,5,81.5,18.5
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary","Students with Disabilities",22,5,81.5,18.5
"2020 - 2021",SCH,"Charlottesville City Public Schools","Johnson Elementary",White,106,4,96.4,3.6
