case_number,agency,area,reported_date,crime_code,block_address,verified,locality,description,address,lon,lat
2019-00000049,ACPD,S8-17,2019-01-01T03:23:13Z,Shots Fired,1400 CROZET AVE,VERIFIED,Albemarle County,Shots Fired,1400 CROZET AVE Albemarle County,-78.69848499999999,38.0744345
2019-00000025,CPD,CASE,2019-01-01T04:35:02Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2019-00001064,ACPD,S5-14,2019-01-05T17:38:56Z,Shots Fired,9800 OLD GREEN MTN RD,VERIFIED,Albemarle County,Shots Fired,9800 OLD GREEN MTN RD Albemarle County,-78.6728304,37.7696947
2019-00000406,CPD,CASE,2019-01-05T19:22:42Z,13A,1700 HYDRAULIC RD,CASE,Charlottesville,Aggravated Assault,1700 HYDRAULIC RD Charlottesville,-78.4887056,38.0588756
2019-00001803,ACPD,CASE,2019-01-08T21:24:05Z,13A,6200 PLANK RD,CASE,Albemarle County,Aggravated Assault,6200 PLANK RD Albemarle County,-78.7090668,37.9825552
2019-00000755,CPD,DS-1,2019-01-09T20:22:04Z,Shots Fired,6TH ST,VERIFIED,Charlottesville,Shots Fired,6TH ST Charlottesville,-78.4902638,38.028322
2019-00000954,CPD,DC-3,2019-01-12T00:17:51Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2019-00007261,ACPD,S5-13,2019-02-02T08:14:02Z,Shots Fired,1500 BRIERY CREEK RD,VERIFIED,Albemarle County,Shots Fired,1500 BRIERY CREEK RD Albemarle County,-78.44630769999999,37.8542125
2019-00003446,CPD,DS-3,2019-02-08T20:23:29Z,Shots Fired,800 RIDGE ST,VERIFIED,Charlottesville,Shots Fired,800 RIDGE ST Charlottesville,-78.4913146,38.0222031
2019-00008806,ACPD,S5-13,2019-02-09T14:14:38Z,Shots Fired,4500 BLENHEIM RD,VERIFIED,Albemarle County,Shots Fired,4500 BLENHEIM RD Albemarle County,-78.4968138,37.912630299999996
2019-00003570,CPD,CASE,2019-02-10T04:20:37Z,13A,300 6TH ST,CASE,Charlottesville,Aggravated Assault,300 6TH ST Charlottesville,-78.48963189999999,38.0292897
2019-00009819,ACPD,S7-16,2019-02-14T09:59:45Z,Shots Fired,2000 DECCA LN,VERIFIED,Albemarle County,Shots Fired,2000 DECCA LN Albemarle County,-78.6000861,38.0907979
2019-00010295,ACPD,S3-8,2019-02-16T14:29:03Z,Shots Fired,2300 WALNUT RIDGE LN,VERIFIED,Albemarle County,Shots Fired,2300 WALNUT RIDGE LN Albemarle County,-78.42786749999999,38.08793980000001
2019-00004692,CPD,DC-3,2019-02-22T20:21:00Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2019-00004703,CPD,DS-5,2019-02-22T22:16:52Z,Shots Fired,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2019-00005103,CPD,CASE,2019-02-26T22:16:29Z,13A,1000 CARLTON AVE,CASE,Charlottesville,Aggravated Assault,1000 CARLTON AVE Charlottesville,-78.4743641,38.0242834
2019-00013200,ACPD,S1-6,2019-03-02T00:15:12Z,Shots Fired,100 GREEN TURTLE LN,VERIFIED,Albemarle County,Shots Fired,100 GREEN TURTLE LN Albemarle County,-78.4941607,38.0694076
2019-00005395,CPD,CASE,2019-03-02T02:09:12Z,13A,300 JEFFERSON ST,CASE,Charlottesville,Aggravated Assault,300 JEFFERSON ST Charlottesville,-78.4792946,38.031821
2019-00006286,CPD,CASE,2019-03-12T00:21:24Z,13A,1200 LEE ST,CASE,Charlottesville,Aggravated Assault,1200 LEE ST Charlottesville,-78.4985288,38.0318629
2019-00006623,CPD,DS-5,2019-03-15T05:14:00Z,Shots Fired,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2019-00016098,ACPD,S7-16,2019-03-15T18:38:16Z,Shots Fired,2000 DECCA LN,VERIFIED,Albemarle County,Shots Fired,2000 DECCA LN Albemarle County,-78.6000861,38.0907979
2019-00016257,ACPD,S8-19,2019-03-16T14:37:02Z,Shots Fired,6600 BLACKWELLS HOLLOW RD,VERIFIED,Albemarle County,Shots Fired,6600 BLACKWELLS HOLLOW RD Albemarle County,-78.64986920000001,38.2191286
2019-00019219,ACPD,CASE,2019-03-29T17:00:59Z,13A,1900 ABBEY RD,CASE,Albemarle County,Aggravated Assault,1900 ABBEY RD Albemarle County,-78.6114999,38.0567092
2019-00019364,ACPD,S5-3,2019-03-30T11:55:57Z,Shots Fired,1000 THOMAS JEFFERSON PKWY,VERIFIED,Albemarle County,Shots Fired,1000 THOMAS JEFFERSON PKWY Albemarle County,-78.4544315,38.0037539
2019-00008640,CPD,DN-3,2019-04-03T14:21:17Z,Shots Fired,CONCORD AVE,VERIFIED,Charlottesville,Shots Fired,CONCORD AVE Charlottesville,-78.4838194,38.0384077
2019-00009041,CPD,DS-3,2019-04-07T02:09:58Z,Shots Fired,900 1ST ST,VERIFIED,Charlottesville,Shots Fired,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2019-00021339,ACPD,S4-10,2019-04-09T17:48:28Z,Shots Fired,3000 PRITCHETT RIDGE LN,VERIFIED,Albemarle County,Shots Fired,3000 PRITCHETT RIDGE LN Albemarle County,-78.3953585,38.1473502
2019-00021997,ACPD,S3-20,2019-04-12T21:06:34Z,Shots Fired,4400 CARRIAGE HILL DR,VERIFIED,Albemarle County,Shots Fired,4400 CARRIAGE HILL DR Albemarle County,-78.4618067,38.1594464
2019-00022119,ACPD,S6-15,2019-04-13T14:24:33Z,Shots Fired,4300 SYCAMORE CREEK DR,VERIFIED,Albemarle County,Shots Fired,4300 SYCAMORE CREEK DR Albemarle County,-78.6353056,37.97539
2019-00023528,ACPD,S3-20,2019-04-20T15:45:19Z,Shots Fired,RIDGEMONT RD,VERIFIED,Albemarle County,Shots Fired,RIDGEMONT RD Albemarle County,-78.4778414,38.153082
2019-00010984,CPD,DS-2,2019-04-24T22:23:09Z,Shots Fired,100 MONTICELLO AVE,VERIFIED,Charlottesville,Shots Fired,100 MONTICELLO AVE Charlottesville,-78.4753806,38.0250966
2019-00025133,ACPD,CASE,2019-04-29T17:51:50Z,13A,2200 COMMONWEALTH DR,CASE,Albemarle County,Aggravated Assault,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
