year,patient_city_county,firearm_injury_visits,total_ed_visits,rate_of_firearm_injuries_per_10k_ed_visits
2016,Albemarle County and Charlottesville City,30,49498,6.1
2017,Alexandria,6,44190,1.4
2020,Alexandria,18,34118,5.3
2023,Alexandria,8,45777,1.7
2015,Alleghany County and Covington City,3,14107,2.1
2018,Alleghany County and Covington City,5,11892,4.2
2021,Alleghany County and Covington City,6,13543,4.4
2016,Amelia,3,6887,4.4
2019,Amelia,5,6376,7.8
2022,Amelia,5,7749,6.5
2015,Amherst,5,10080,5
2018,Amherst,5,9373,5.3
2021,Amherst,8,10908,7.3
2016,Augusta County,NA,NA,NA
2019,Augusta County,NA,NA,NA
2022,Augusta County,NA,NA,NA
2021,Bath,0,2573,0
2021,Brunswick,4,9075,4.4
2020,Buchanan,2,9142,2.2
2023,Buchanan,4,10901,3.7
2015,Campbell,1,10344,1
2016,Caroline,5,17033,2.9
2017,Charles City,0,2749,0
2023,Clarke,1,5231,1.9
2022,Culpeper,11,31589,3.5
2016,Dickenson,1,11669,0.9
2019,Dickenson,1,11278,0.9
2022,Dickenson,3,9775,3.1
2017,Fairfax County,NA,NA,NA
2016,Fluvanna,6,7260,8.3
2019,Fluvanna,2,8231,2.4
2022,Fluvanna,3,8606,3.5
2016,Franklin County,13,25243,5.1
2015,Gloucester,1,16383,0.6
2018,Gloucester,2,2986,6.7
2019,Goochland,1,7171,1.4
2022,Goochland,7,8401,8.3
2016,Grayson County and Galax City,6,14798,4.1
2021,Greene,4,11002,3.6
2017,Hampton,51,61911,8.199999999999998
2015,Hanover,9,37875,2.4
2018,Hanover,10,35911,2.8
2016,Henrico,73,130179,5.6
2019,Henrico,69,117197,5.9
2022,Henrico,122,143397,8.5
2019,Highland,2,767,26.1
2022,Highland,1,779,12.8
2020,Isle of Wight,10,13968,7.2
2023,Isle of Wight,10,17164,5.8
2015,James City,10,36650,2.7
2018,James City,8,26424,3
2016,King George,1,10023,1
2019,King George,1,9375,1.1
2022,King George,1,9913,1
2016,Lee,3,10216,2.9
2019,Lee,0,9309,0
2022,Lee,6,13497,4.4
2016,Louisa,13,17211,7.599999999999999
2017,Lunenburg,2,4464,4.5
2020,Lunenburg,3,4139,7.2
2017,Lynchburg,12,34854,3.4
2020,Lynchburg,21,25829,8.099999999999998
2022,Mathews,0,3971,0
2020,Middlesex,3,5107,5.9
2023,Middlesex,6,6663,9
2015,Montgomery County and Radford City,12,39538,3
2015,Newport News,85,107541,7.9
2018,Newport News,37,66854,5.5
2021,Newport News,152,100139,15.2
2022,Northampton,4,6661,6
2017,Northumberland,1,7187,1.4
2020,Northumberland,6,6972,8.599999999999998
2023,Northumberland,6,9231,6.5
2016,Nottoway,3,9230,3.3
2019,Nottoway,5,9183,5.4
2022,Nottoway,16,10302,15.5
2015,Orange,2,11421,1.8
2022,Patrick,5,3536,14.1
2022,Poquoson,0,4122,0
2015,Prince Edward,4,16063,2.5
2018,Prince Edward,8,15176,5.3
2016,Prince George County,NA,NA,NA
2019,Prince George County,NA,NA,NA
2022,Prince George County,NA,NA,NA
2019,Prince William County,NA,NA,NA
2015,Albemarle County and Charlottesville City,31,47487,6.5
2016,Alexandria,6,44255,1.4
2019,Alexandria,9,44786,2
2019,Alleghany County and Covington City,2,11106,1.8
2022,Alleghany County and Covington City,7,14752,4.7
2015,Amelia,8,6207,12.9
2018,Amelia,3,6328,4.7
2019,Amherst,1,9482,1.1
2022,Amherst,9,11292,8
2015,Augusta County,NA,NA,NA
2018,Augusta County,NA,NA,NA
2017,Bath,1,3023,3.3
2020,Bath,0,2474,0
2023,Bath,1,3282,3
2015,Bedford,4,22221,1.8
2018,Bedford,8,23662,3.4
2015,Buckingham,2,6545,3.1
2018,Buckingham,1,6285,1.6
2016,Campbell,5,10797,4.6
2019,Campbell,3,9780,3.1
2017,Caroline,4,16574,2.4
2020,Caroline,8,13660,5.9
2015,Charles City,1,2673,3.7
2018,Charles City,0,2682,0
2023,Charlotte,3,7042,4.3
2023,Chesapeake,41,101023,4.1
2019,Clarke,0,4822,0
2022,Clarke,0,4950,0
2023,Cumberland,2,4097,4.9
2020,Dickenson,5,8352,6
2023,Dickenson,5,9647,5.2
2020,Fluvanna,4,5907,6.8
2023,Fluvanna,3,9181,3.3
2017,Franklin County,15,24653,6.1
2020,Franklin County,19,20475,9.3
2016,Gloucester,4,16537,2.4
2019,Gloucester,9,19085,4.7
2022,Gloucester,4,19593,2
2023,Goochland,0,8728,0
2017,Greene,5,12479,4
2020,Greene,4,9506,4.2
2023,Greene,3,12617,2.4
2015,Henrico,45,123395,3.6
2018,Henrico,60,121617,4.9
2021,Henrico,136,125136,10.9
2023,Highland,0,876,0
2019,Isle of Wight,4,16167,2.5
2022,Isle of Wight,5,16541,3
2016,James City,14,38912,3.6
2019,James City,20,40848,4.9
2022,James City,9,44736,2
2016,King and Queen,2,4112,4.9
2015,King George,1,9445,1.1
2018,King George,2,8678,2.3
2020,Lee,3,6185,4.9
2023,Lee,4,13791,2.9
2020,Loudoun,14,79625,1.8
2023,Loudoun,17,114070,1.5
2015,Lunenburg,2,4085,4.9
2018,Lunenburg,3,4606,6.5
2021,Lunenburg,4,4575,8.699999999999998
2015,Lynchburg,6,34522,1.7
2018,Lynchburg,16,32380,4.9
2021,Lynchburg,37,33524,11
2017,Madison,3,4805,6.2
2018,Mathews,0,552,0
2021,Mathews,0,3854,0
2016,Middlesex,1,5614,1.8
2019,Middlesex,1,5926,1.7
2022,Middlesex,0,6500,0
2020,Nelson,1,4170,2.4
2023,Nelson,0,6360,0
2017,Newport News,54,82981,6.5
2021,Norfolk,166,128813,12.9
2018,Northampton,2,985,20.3
2021,Northampton,3,6144,4.9
2016,Northumberland,5,8229,6.1
2019,Northumberland,6,8346,7.2
2022,Northumberland,6,8745,6.9
2017,Nottoway,5,9532,5.2
2020,Nottoway,7,8969,7.8
2023,Nottoway,19,10660,17.8
2023,Page,3,17656,1.7
2018,Patrick,1,3676,2.7
2021,Patrick,1,3186,3.1
2015,Pittsylvania County and Danville City,49,41866,11.7
2018,Pittsylvania County and Danville City,51,45644,11.2
2016,Prince Edward,4,16081,2.5
2019,Prince Edward,5,15165,3.3
2022,Prince Edward,8,16360,4.9
2020,Prince George County,NA,NA,NA
2016,Accomack,11,9088,12.1
2019,Accomack,5,16003,3.1
2022,Accomack,14,17964,7.8
2023,Albemarle County and Charlottesville City,35,54837,6.4
2015,Appomattox,0,4440,0
2018,Appomattox,3,4331,6.9
2021,Appomattox,5,5000,10
2017,Arlington,4,46611,0.9
2020,Arlington,3,37421,0.8
2021,Bedford,13,24920,5.2
2017,Bland,0,883,0
2020,Bland,0,2119,0
2023,Bland,3,2776,10.8
2017,Botetourt,2,8369,2.4
2020,Botetourt,5,7676,6.5
2023,Botetourt,5,11455,4.4
2021,Buckingham,3,6086,4.9
2022,Campbell,9,15100,6
2023,Caroline,5,17277,2.9
2017,Carroll,2,7692,2.6
2020,Carroll,6,7737,7.8
2023,Carroll,8,8296,9.6
2021,Charles City,1,3253,3.1
2017,Charlotte,7,6839,10.2
2020,Charlotte,2,5462,3.7
2017,Chesapeake,57,102608,5.6
2020,Chesapeake,63,87815,7.2
2020,Chesterfield County and Colonial Heights City,102,134245,7.599999999999999
2023,Chesterfield County and Colonial Heights City,108,189592,5.7
2016,Clarke,2,4840,4.1
2015,Craig,0,1830,0
2018,Craig,1,1710,5.8
2021,Craig,1,1764,5.7
2015,Culpeper,11,22763,4.8
2017,Cumberland,0,3929,0
2020,Cumberland,1,3269,3.1
2016,Dinwiddie,7,2836,24.7
2019,Dinwiddie,2,8432,2.4
2022,Dinwiddie,6,9665,6.2
2017,Essex,1,4918,2
2016,Fauquier,15,29885,5
2019,Fauquier,20,27145,7.4
2022,Fauquier,5,26082,1.9
2015,Floyd,3,4719,6.4
2018,Floyd,1,4785,2.1
2023,Franklin County,8,25571,3.1
2016,Frederick County and Winchester City,17,50036,3.4
2019,Frederick County and Winchester City,13,48126,2.7
2022,Frederick County and Winchester City,9,48337,1.9
2017,Fredericksburg,6,15983,3.8
2018,Giles,6,11430,5.2
2021,Giles,8,10228,7.8
2023,Grayson County and Galax City,5,13407,3.7
2021,Greensville County and Emporia City,19,10625,17.9
2018,Halifax,10,20138,5
2021,Halifax,9,17440,5.2
2017,Henry County and Martinsville City,21,39303,5.3
2020,Henry County and Martinsville City,45,32398,13.9
2023,Henry County and Martinsville City,29,36965,7.8
2016,Isle of Wight,12,15020,8
2019,King and Queen,2,4199,4.8
2022,King and Queen,1,4061,2.5
2016,King William,4,7440,5.4
2019,King William,1,7446,1.3
2021,Lancaster,2,4826,4.1
2017,Loudoun,12,97017,1.2
2023,Louisa,8,20714,3.9
2020,Madison,3,3657,8.199999999999998
2023,Madison,3,5560,5.4
2015,Mathews,3,3000,10
2016,Mecklenburg,3,15102,2
2019,Mecklenburg,7,17251,4.1
2022,Montgomery County and Radford City,11,41163,2.7
2017,Nelson,8,6092,13.1
2016,New Kent,2,8420,2.4
2019,New Kent,3,8721,3.4
2022,New Kent,3,12916,2.3
2015,Norfolk,140,142820,9.8
2018,Norfolk,96,139102,6.9
2015,Northampton,4,6678,6
